config_name	seed	split	prompt_mode	n_examples	accuracy	macro_f1	brier	f1_yes	f1_no	f1_maybe	prediction_file
agent_aux_a20f5b7	42	val	question_context	150	0.42	0.28668	0.6807	0.535714	0.324324	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_agent_aux_a20f5b7_seed42_question_context.tsv
agent_aux_a20f5b7	42	val	question_only	150	0.366667	0.309452	0.74191	0.45	0.301887	0.176471	outputs/same_trained_context_ablation/predictions/pubmedqa_val_agent_aux_a20f5b7_seed42_question_only.tsv
agent_aux_a20f5b7	42	val	context_removed	150	0.346667	0.255276	0.718988	0.461538	0.237624	0.066667	outputs/same_trained_context_ablation/predictions/pubmedqa_val_agent_aux_a20f5b7_seed42_context_removed.tsv
agent_aux_a20f5b7	42	val	context_only	150	0.406667	0.278579	0.680246	0.52381	0.311927	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_agent_aux_a20f5b7_seed42_context_only.tsv
agent_aux_a20f5b7	42	val	shuffled_context	150	0.406667	0.274107	0.706429	0.523256	0.299065	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_agent_aux_a20f5b7_seed42_shuffled_context.tsv
agent_aux_a20f5b7	42	val	question_shuffled	150	0.44	0.299465	0.66915	0.552941	0.345455	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_agent_aux_a20f5b7_seed42_question_shuffled.tsv
agent_aux_a20f5b7	43	val	question_context	150	0.446667	0.340738	0.690715	0.525	0.410256	0.086957	outputs/same_trained_context_ablation/predictions/pubmedqa_val_agent_aux_a20f5b7_seed43_question_context.tsv
agent_aux_a20f5b7	43	val	question_only	150	0.273333	0.239513	0.86584	0.068966	0.444444	0.205128	outputs/same_trained_context_ablation/predictions/pubmedqa_val_agent_aux_a20f5b7_seed43_question_only.tsv
agent_aux_a20f5b7	43	val	context_removed	150	0.286667	0.239215	0.827026	0.069767	0.485714	0.162162	outputs/same_trained_context_ablation/predictions/pubmedqa_val_agent_aux_a20f5b7_seed43_context_removed.tsv
agent_aux_a20f5b7	43	val	context_only	150	0.433333	0.329203	0.690951	0.525	0.382609	0.08	outputs/same_trained_context_ablation/predictions/pubmedqa_val_agent_aux_a20f5b7_seed43_context_only.tsv
agent_aux_a20f5b7	43	val	shuffled_context	150	0.42	0.317576	0.71399	0.518519	0.350877	0.083333	outputs/same_trained_context_ablation/predictions/pubmedqa_val_agent_aux_a20f5b7_seed43_shuffled_context.tsv
agent_aux_a20f5b7	43	val	question_shuffled	150	0.433333	0.330717	0.685975	0.518987	0.393162	0.08	outputs/same_trained_context_ablation/predictions/pubmedqa_val_agent_aux_a20f5b7_seed43_question_shuffled.tsv
agent_aux_a20f5b7	44	val	question_context	150	0.46	0.314583	0.672055	0.59375	0.25	0.1	outputs/same_trained_context_ablation/predictions/pubmedqa_val_agent_aux_a20f5b7_seed44_question_context.tsv
agent_aux_a20f5b7	44	val	question_only	150	0.546667	0.235632	0.719814	0.706897	0.0	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_agent_aux_a20f5b7_seed44_question_only.tsv
agent_aux_a20f5b7	44	val	context_removed	150	0.513333	0.35529	0.645514	0.663366	0.208955	0.193548	outputs/same_trained_context_ablation/predictions/pubmedqa_val_agent_aux_a20f5b7_seed44_context_removed.tsv
agent_aux_a20f5b7	44	val	context_only	150	0.466667	0.339514	0.674761	0.604167	0.232558	0.181818	outputs/same_trained_context_ablation/predictions/pubmedqa_val_agent_aux_a20f5b7_seed44_context_only.tsv
agent_aux_a20f5b7	44	val	shuffled_context	150	0.493333	0.340294	0.692269	0.618557	0.302326	0.1	outputs/same_trained_context_ablation/predictions/pubmedqa_val_agent_aux_a20f5b7_seed44_shuffled_context.tsv
agent_aux_a20f5b7	44	val	question_shuffled	150	0.46	0.310165	0.669908	0.597938	0.232558	0.1	outputs/same_trained_context_ablation/predictions/pubmedqa_val_agent_aux_a20f5b7_seed44_question_shuffled.tsv
agent_aux_a20f5b7	45	val	question_context	150	0.506667	0.338299	0.638675	0.659341	0.355556	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_agent_aux_a20f5b7_seed45_question_context.tsv
agent_aux_a20f5b7	45	val	question_only	150	0.493333	0.348617	0.629151	0.629442	0.25641	0.16	outputs/same_trained_context_ablation/predictions/pubmedqa_val_agent_aux_a20f5b7_seed45_question_only.tsv
agent_aux_a20f5b7	45	val	context_removed	150	0.513333	0.275743	0.615775	0.675799	0.071429	0.08	outputs/same_trained_context_ablation/predictions/pubmedqa_val_agent_aux_a20f5b7_seed45_context_removed.tsv
agent_aux_a20f5b7	45	val	context_only	150	0.493333	0.32957	0.639233	0.640884	0.347826	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_agent_aux_a20f5b7_seed45_context_only.tsv
agent_aux_a20f5b7	45	val	shuffled_context	150	0.466667	0.329339	0.623704	0.617978	0.301075	0.068966	outputs/same_trained_context_ablation/predictions/pubmedqa_val_agent_aux_a20f5b7_seed45_shuffled_context.tsv
agent_aux_a20f5b7	45	val	question_shuffled	150	0.506667	0.362081	0.63467	0.651685	0.365591	0.068966	outputs/same_trained_context_ablation/predictions/pubmedqa_val_agent_aux_a20f5b7_seed45_question_shuffled.tsv
agent_aux_a20f5b7	46	val	question_context	150	0.493333	0.324489	0.669368	0.622951	0.350515	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_agent_aux_a20f5b7_seed46_question_context.tsv
agent_aux_a20f5b7	46	val	question_only	150	0.233333	0.224987	0.85398	0.148936	0.353982	0.172043	outputs/same_trained_context_ablation/predictions/pubmedqa_val_agent_aux_a20f5b7_seed46_question_only.tsv
agent_aux_a20f5b7	46	val	context_removed	150	0.34	0.304735	0.687932	0.445946	0.252874	0.215385	outputs/same_trained_context_ablation/predictions/pubmedqa_val_agent_aux_a20f5b7_seed46_context_removed.tsv
agent_aux_a20f5b7	46	val	context_only	150	0.473333	0.316764	0.67325	0.603352	0.346939	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_agent_aux_a20f5b7_seed46_context_only.tsv
agent_aux_a20f5b7	46	val	shuffled_context	150	0.44	0.283356	0.694364	0.579235	0.270833	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_agent_aux_a20f5b7_seed46_shuffled_context.tsv
agent_aux_a20f5b7	46	val	question_shuffled	150	0.486667	0.323704	0.662803	0.611111	0.36	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_agent_aux_a20f5b7_seed46_question_shuffled.tsv
random_primary_best_7147e14	42	val	question_context	150	0.54	0.245823	0.579123	0.701754	0.035714	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_random_primary_best_7147e14_seed42_question_context.tsv
random_primary_best_7147e14	42	val	question_only	150	0.473333	0.249272	0.597844	0.641148	0.106667	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_random_primary_best_7147e14_seed42_question_only.tsv
random_primary_best_7147e14	42	val	context_removed	150	0.5	0.259781	0.59115	0.666667	0.112676	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_random_primary_best_7147e14_seed42_context_removed.tsv
random_primary_best_7147e14	42	val	context_only	150	0.54	0.256027	0.578985	0.699115	0.068966	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_random_primary_best_7147e14_seed42_context_only.tsv
random_primary_best_7147e14	42	val	shuffled_context	150	0.533333	0.243708	0.579422	0.696035	0.035088	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_random_primary_best_7147e14_seed42_shuffled_context.tsv
random_primary_best_7147e14	42	val	question_shuffled	150	0.54	0.256027	0.579187	0.699115	0.068966	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_random_primary_best_7147e14_seed42_question_shuffled.tsv
random_primary_best_7147e14	43	val	question_context	150	0.553333	0.237482	0.567339	0.712446	0.0	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_random_primary_best_7147e14_seed43_question_context.tsv
random_primary_best_7147e14	43	val	question_only	150	0.42	0.290469	0.606535	0.506329	0.365079	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_random_primary_best_7147e14_seed43_question_only.tsv
random_primary_best_7147e14	43	val	context_removed	150	0.54	0.334444	0.589197	0.67	0.333333	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_random_primary_best_7147e14_seed43_context_removed.tsv
random_primary_best_7147e14	43	val	context_only	150	0.553333	0.237482	0.567248	0.712446	0.0	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_random_primary_best_7147e14_seed43_context_only.tsv
random_primary_best_7147e14	43	val	shuffled_context	150	0.553333	0.237482	0.573876	0.712446	0.0	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_random_primary_best_7147e14_seed43_shuffled_context.tsv
random_primary_best_7147e14	43	val	question_shuffled	150	0.553333	0.237482	0.566788	0.712446	0.0	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_random_primary_best_7147e14_seed43_question_shuffled.tsv
random_primary_best_7147e14	44	val	question_context	150	0.553333	0.237482	0.570752	0.712446	0.0	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_random_primary_best_7147e14_seed44_question_context.tsv
random_primary_best_7147e14	44	val	question_only	150	0.406667	0.283136	0.594353	0.465409	0.384	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_random_primary_best_7147e14_seed44_question_only.tsv
random_primary_best_7147e14	44	val	context_removed	150	0.393333	0.276181	0.606127	0.379562	0.44898	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_random_primary_best_7147e14_seed44_context_removed.tsv
random_primary_best_7147e14	44	val	context_only	150	0.553333	0.237482	0.569942	0.712446	0.0	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_random_primary_best_7147e14_seed44_context_only.tsv
random_primary_best_7147e14	44	val	shuffled_context	150	0.553333	0.237482	0.571366	0.712446	0.0	0.0	outputs/same_trained_context_ablation/predictions/pubmedqa_val_random_primary_best_7147e14_seed44_shuffled_context.tsv
