task	split	model_id	display_name	family	input_mode	train_mode	eval_mode	selected_variant	n	accuracy	macro_f1	brier	ece	mce	mean_confidence	mean_entropy	high_conf_wrong_rate	f1_yes	f1_no	f1_maybe	pred_frac_yes	pred_frac_no	pred_frac_maybe
pubmedqa	val	tfidf_lr	TF-IDF LR	sparse	question_context	question_context	question_context	tfidf_lr_question_context_c0.1_ng11_cwbalanced	150	0.4666666666666667	0.3516457811194654	0.6545955414290154	0.11747395669128174	0.11747395669128174	0.34919270997538493	1.0973518288406812	0.0	0.5714285714285715	0.4035087719298246	0.08	0.52	0.42	0.06
pubmedqa	val	tfidf_lr	TF-IDF LR	sparse	question_only	question_only	question_only	tfidf_lr_question_only_c10.0_ng11_cwbalanced	150	0.49333333333333335	0.3505074160811866	0.6519194909350912	0.17264357764711444	0.4098185529779809	0.6275496086372102	0.8217052708176231	0.08	0.6229508196721312	0.3516483516483516	0.07692307692307693	0.6666666666666666	0.26666666666666666	0.06666666666666667
pubmedqa	val	tfidf_lr	TF-IDF LR	sparse	context_only	context_only	context_only	tfidf_lr_context_only_c1.0_ng11_cwbalanced	150	0.49333333333333335	0.33813813813813814	0.612814595674821	0.06743462146735027	0.6197188857111381	0.43416163034213157	1.055634939379731	0.0	0.6	0.41441441441441446	0.0	0.58	0.4	0.02
pubmedqa	val	tfidf_lr	TF-IDF LR	sparse	question_shuffled_context_eval	question_context	question_shuffled_context	tfidf_lr_question_context_c0.1_ng11_cwbalanced	150	0.44666666666666666	0.34015819571375133	0.6550422152142409	0.09780388806829216	0.09780388806829216	0.3488627785983745	1.0973891329178525	0.0	0.5308641975308642	0.4181818181818182	0.07142857142857144	0.5266666666666666	0.3933333333333333	0.08
pubmedqa	val	bert-base-uncased	BERT	general	question_context	question_context	question_context	frozen_bert-base-uncased_question_context_zscore_lr_c0.01_cwnone_selected_on_inner_train	150	0.5	0.38964646464646474	0.6511110590613788	0.1788924294710159	0.34526889077548323	0.6592593028148015	0.7635079367504568	0.06	0.6022727272727274	0.4	0.16666666666666666	0.62	0.32666666666666666	0.05333333333333334
pubmedqa	val	bert-base-uncased	BERT	general	question_only	question_only	question_only	frozen_bert-base-uncased_question_only_zscore_lr_c0.1_cwnone_selected_on_inner_train	150	0.4666666666666667	0.34612400223028733	0.905751299497302	0.37171032845973967	0.5481285137288711	0.8240711019436519	0.4343334401145932	0.35333333333333333	0.5730994152046782	0.38834951456310685	0.07692307692307693	0.5866666666666667	0.3466666666666667	0.06666666666666667
pubmedqa	val	bert-base-uncased	BERT	general	context_only	context_only	context_only	frozen_bert-base-uncased_context_only_zscore_lr_c0.1_cwnone_selected_on_inner_train	150	0.42	0.35208929403153905	0.8399326320011586	0.36244906902313234	0.5179825198082697	0.7824490690231323	0.5178656546530285	0.2733333333333333	0.5131578947368421	0.3716814159292035	0.17142857142857143	0.46	0.41333333333333333	0.12666666666666668
pubmedqa	val	bert-base-uncased	BERT	general	question_shuffled_context_eval	question_context	question_shuffled_context	frozen_bert-base-uncased_question_context_zscore_lr_c0.01_cwnone_selected_on_inner_train	150	0.52	0.3334858886346301	0.6581320499962309	0.15638495206832884	0.7150347034136454	0.6637043364842733	0.7455240381861504	0.1	0.6526315789473685	0.34782608695652173	0.0	0.7133333333333334	0.2733333333333333	0.013333333333333334
pubmedqa	val	allenai/scibert_scivocab_uncased	SciBERT	scientific	question_context	question_context	question_context	frozen_allenai_scibert_scivocab_uncased_question_context_zscore_lr_c10.0_cwnone_selected_on_inner_train	150	0.47333333333333333	0.33571295779884736	0.8899097769908818	0.3966382881005605	0.47878697779443524	0.8699716214338938	0.3033005028895702	0.34	0.588957055214724	0.4181818181818182	0.0	0.5333333333333333	0.3933333333333333	0.07333333333333333
pubmedqa	val	allenai/scibert_scivocab_uncased	SciBERT	scientific	question_only	question_only	question_only	frozen_allenai_scibert_scivocab_uncased_question_only_zscore_lr_c0.01_cwnone_selected_on_inner_train	150	0.5733333333333334	0.37943262411347517	0.6377965412454013	0.14948343714078266	0.6372194488843281	0.6577705331643422	0.746868636830016	0.10666666666666667	0.6914893617021277	0.44680851063829785	0.0	0.7	0.2866666666666667	0.013333333333333334
