case_audit_id	pmid	pubmed_url	question	gold_label	agent_distribution	agent_majority	random_distribution	random_majority	audit_sampling_stratum	reviewer_id	case_audit_provenance	abstract_conclusion_support	evidence_type	linguistic_cue	agent_effect_category	label_ambiguity	context_sufficient_for_judgment	safe_manuscript_use	reviewer_confidence	reviewer_note
BMC-CASE-001	10381996	https://pubmed.ncbi.nlm.nih.gov/10381996/	Clinician assessment for acute chest syndrome in febrile patients with sickle cell disease: is it accurate enough?	no	yes:1/5,no:4/5,maybe:0/5	no	yes:3/5,no:2/5,maybe:0/5	yes	agent_corrected_random_yes_collapse_no	supervisor_informed_standardized_20260507	User-reported supervisor-informed review followed by controlled-field standardization; not automated-only adjudication, not independent expert consensus, and not a new PubMedQA gold standard.	supports_no	diagnostic_or_biomarker	explicit_no_effect	corrected_yes_collapse	no	yes	main_text	high	Abstract clearly rejects unaided clinician assessment accuracy and the agent shifted the majority from random yes to no.
BMC-CASE-002	10593212	https://pubmed.ncbi.nlm.nih.gov/10593212/	Does loss of consciousness predict neuropsychological decrements after concussion?	no	yes:2/5,no:3/5,maybe:0/5	no	yes:5/5,no:0/5,maybe:0/5	yes	agent_corrected_random_yes_collapse_no	supervisor_informed_standardized_20260507	User-reported supervisor-informed review followed by controlled-field standardization; not automated-only adjudication, not independent expert consensus, and not a new PubMedQA gold standard.	supports_no	prognosis	statistical_non_significance	corrected_yes_collapse	no	yes	main_text	high	No neuropsychological differences by LOC were reported, making this a clean no-collapse correction example.
BMC-CASE-003	10781708	https://pubmed.ncbi.nlm.nih.gov/10781708/	Thrombosis prophylaxis in hospitalised medical patients: does prophylaxis in all patients make sense?	no	yes:2/5,no:3/5,maybe:0/5	no	yes:5/5,no:0/5,maybe:0/5	yes	agent_corrected_random_yes_collapse_no	supervisor_informed_standardized_20260507	User-reported supervisor-informed review followed by controlled-field standardization; not automated-only adjudication, not independent expert consensus, and not a new PubMedQA gold standard.	supports_no	intervention_or_comparative	qualified_conclusion	corrected_yes_collapse	no	yes	supplement_only	high	The conclusion says prophylaxis for all medical inpatients is not justified, although a cancer subgroup is noted.
BMC-CASE-004	11926574	https://pubmed.ncbi.nlm.nih.gov/11926574/	Are hepatitis G virus and TT virus involved in cryptogenic chronic liver disease?	no	yes:2/5,no:3/5,maybe:0/5	no	yes:4/5,no:1/5,maybe:0/5	yes	agent_corrected_random_yes_collapse_no	supervisor_informed_standardized_20260507	User-reported supervisor-informed review followed by controlled-field standardization; not automated-only adjudication, not independent expert consensus, and not a new PubMedQA gold standard.	supports_no	observational_association	statistical_non_significance	corrected_yes_collapse	no	yes	supplement_only	moderate	The abstract rules out an etiologic role for hepatitis G virus, but the multi-virus framing is less simple for readers.
BMC-CASE-005	16510651	https://pubmed.ncbi.nlm.nih.gov/16510651/	Birth characteristics and risk of low intellectual performance in early adulthood: are the associations confounded by socioeconomic factors in adolescence or familial effects?	no	yes:2/5,no:3/5,maybe:0/5	no	yes:5/5,no:0/5,maybe:0/5	yes	agent_corrected_random_yes_collapse_no	supervisor_informed_standardized_20260507	User-reported supervisor-informed review followed by controlled-field standardization; not automated-only adjudication, not independent expert consensus, and not a new PubMedQA gold standard.	supports_no	observational_association	qualified_conclusion	corrected_yes_collapse	uncertain	yes	supplement_only	moderate	The abstract supports no full socioeconomic or familial confounding, but the question requires careful semantic reading.
BMC-CASE-006	18435678	https://pubmed.ncbi.nlm.nih.gov/18435678/	Kell alloimmunization in pregnancy: associated with fetal thrombocytopenia?	no	yes:1/5,no:4/5,maybe:0/5	no	yes:5/5,no:0/5,maybe:0/5	yes	agent_corrected_random_yes_collapse_no	supervisor_informed_standardized_20260507	User-reported supervisor-informed review followed by controlled-field standardization; not automated-only adjudication, not independent expert consensus, and not a new PubMedQA gold standard.	supports_no	observational_association	explicit_no_effect	corrected_yes_collapse	no	yes	supplement_only	high	Kell alloimmunization was not associated with substantial fetal thrombocytopenia in the conclusion.
BMC-CASE-007	18926458	https://pubmed.ncbi.nlm.nih.gov/18926458/	Are octogenarians at high risk for carotid endarterectomy?	no	yes:2/5,no:3/5,maybe:0/5	no	yes:5/5,no:0/5,maybe:0/5	yes	agent_corrected_random_yes_collapse_no	supervisor_informed_standardized_20260507	User-reported supervisor-informed review followed by controlled-field standardization; not automated-only adjudication, not independent expert consensus, and not a new PubMedQA gold standard.	supports_no	procedure_or_surgery	qualified_conclusion	corrected_yes_collapse	no	yes	supplement_only	high	Age alone is stated not to place patients in a high-risk category for carotid endarterectomy.
BMC-CASE-008	19459018	https://pubmed.ncbi.nlm.nih.gov/19459018/	Very high serum CA 19-9 levels: a contraindication to pancreaticoduodenectomy?	no	yes:1/5,no:4/5,maybe:0/5	no	yes:5/5,no:0/5,maybe:0/5	yes	agent_corrected_random_yes_collapse_no	supervisor_informed_standardized_20260507	User-reported supervisor-informed review followed by controlled-field standardization; not automated-only adjudication, not independent expert consensus, and not a new PubMedQA gold standard.	supports_no	diagnostic_or_biomarker	qualified_conclusion	corrected_yes_collapse	no	yes	supplement_only	high	The biomarker level by itself is stated not to preclude surgery after careful staging.
BMC-CASE-009	20304513	https://pubmed.ncbi.nlm.nih.gov/20304513/	Is (18)F-FDG a surrogate tracer to measure tumor hypoxia?	no	yes:1/5,no:4/5,maybe:0/5	no	yes:5/5,no:0/5,maybe:0/5	yes	agent_corrected_random_yes_collapse_no	supervisor_informed_standardized_20260507	User-reported supervisor-informed review followed by controlled-field standardization; not automated-only adjudication, not independent expert consensus, and not a new PubMedQA gold standard.	supports_no	diagnostic_or_biomarker	explicit_no_effect	corrected_yes_collapse	no	yes	main_text	high	The abstract directly states that FDG is not a good surrogate tracer for tumor hypoxia.
BMC-CASE-010	22813804	https://pubmed.ncbi.nlm.nih.gov/22813804/	Does obesity impact the pattern and outcome of trauma in children?	no	yes:2/5,no:3/5,maybe:0/5	no	yes:5/5,no:0/5,maybe:0/5	yes	agent_corrected_random_yes_collapse_no	supervisor_informed_standardized_20260507	User-reported supervisor-informed review followed by controlled-field standardization; not automated-only adjudication, not independent expert consensus, and not a new PubMedQA gold standard.	label_ambiguous	observational_association	mixed_outcome	both_wrong_or_ambiguous	yes	yes	exclude	moderate	The conclusion is mixed because obesity did not affect outcomes but did affect some injury patterns.
