result_block	original_status	numeric_results_changed	new_protocol_effect	retrospective_upgrade	prospective_requirement	evidence_files	allowed_current_use
Manual/random/agent single-run search	legacy_pre_protocol	no	Reclassified as hypothesis-generating search trace rather than confirmatory evidence.	Preserve results_biomed.tsv and interpret single-run wins as candidates only; raw logs are omitted from the minimal public repository.	Future runs must create experiment cards before execution.	results_biomed.tsv	search history and traceability
Agent auxiliary a20f5b7	legacy_pre_protocol_candidate	no	Upgraded from single-run candidate to repeated-seed class-behavior audit case.	5-seed validation, full pairwise audit, calibration audit, context-use caveat, and experiment card.	Future agent interventions must define expected harms before the first run.	outputs/experiment_cards/agent_aux_a20f5b7.md; table2; table7; table14; table15	no-class recovery with accuracy/calibration trade-off
Repeated-seed controls	retrospective_validation_audit	no	Meets the volatility gate for current manuscript use.	Used as the evidence base for claim-safety decisions.	Keep at least five validation seeds for any future candidate result.	results_repeated_controls.tsv; table2_repeated_seed_comparison.tsv	seed-variance and control comparison
Full pairwise prediction audit	retrospective_prediction_audit	no	Meets the pairwise control gate and prevents broad agent-superiority claims.	Agent compared against random primary, random macro-F1 best, manual controls, TF-IDF, frozen BiomedBERT, and majority.	All future claimed improvements need full pairwise comparison against strongest relevant controls.	outputs/prediction_level_audit_full/; table7_full_pairwise_validation_audit.tsv	class-wise trade-off and uncertainty evidence
Proxy-metric mismatch audit	retrospective_metric_audit	no	Supports the proxy-metric gate; lower BPB cannot be treated as sufficient downstream evidence.	BPB/downstream rank inversion formalized in manuscript narrative.	Future BPB-selected candidates must also pass downstream and class-wise checks.	outputs/innovation_audit/proxy_metric_mismatch/; proxy_metric_mismatch figure	negative finding on proxy-metric selection
Context-use sanity check	post_review_guardrail	no	Adds artifact guardrail and limits claims about abstract-grounded reasoning.	Question-only and shuffled-context analyses applied to TF-IDF and frozen BiomedBERT reference baselines.	Future evidence-reasoning claims require partial-input/context checks.	outputs/context_use_sanity/; table13_context_use_sanity.tsv	artifact and grounding caveat
Calibration sanity check	post_review_guardrail	no	Adds reliability guardrail; separates macro-F1 gains from calibration claims.	Brier, ECE, confidence, entropy, and high-confidence wrong-rate computed for key models.	Future reliability or triage claims require calibration diagnostics.	outputs/calibration_sanity/; table14_calibration_sanity.tsv	macro-F1 versus reliability trade-off
Supervisor-informed case-audit package	supervisor_informed_illustrative_audit	no	Upgrades case analysis from selected author examples to a 60-case supervisor-informed illustrative taxonomy while preserving non-consensus boundaries.	60-case table integrated, standardized after supervisor-informed review, and summarized as taxonomy and main-text candidate tables.	Use independent expert consensus language only after a blinded multi-reviewer design with agreement statistics.	outputs/supervisor_case_audit/supervisor_case_audit_public_supplement_60.tsv; table23; table24	supervisor-informed illustrative examples and qualitative taxonomy
SciFact stress test	external_reference_stress_test	no	Clarifies that SciFact supports external reference context, not autoresearch small-LM generalization.	Frozen BiomedBERT evaluated with train-inner selection and official dev stress test.	A future autoresearch SciFact claim would require small-LM adaptation and locked external evaluation.	outputs/biomedbert_scifact_metrics.tsv; table5_scifact_reference_stress_test.tsv	external stress-test reference baseline
Hypothesis-first protocol itself	new_protocol_layer	no	Provides retrospective claim-safety grading for current results and prospective rules for future runs.	Claim-safety matrix, guardrail checklist, experiment cards, workflow figure, and language-editing declaration added.	Future runs should follow this protocol before execution.	docs/agent_prior_knowledge.md; docs/hypothesis_first_autoresearch_protocol.md; outputs/hypothesis_audit/	methods contribution and transparent limitation
