model_id	display_name	family	comparison	macro_f1_delta	accuracy_delta	brier_delta	ece_delta	question_context_macro_f1	comparison_macro_f1	question_context_brier	comparison_brier
tfidf_lr	TF-IDF LR	sparse	question_only vs question_context	-0.001138365038278799	0.026666666666666672	-0.0026760504939242757	0.05516962095583269	0.3516457811194654	0.3505074160811866	0.6545955414290154	0.6519194909350912
tfidf_lr	TF-IDF LR	sparse	context_only vs question_context	-0.013507642981327228	0.026666666666666672	-0.04178094575419444	-0.050039335223931475	0.3516457811194654	0.33813813813813814	0.6545955414290154	0.612814595674821
tfidf_lr	TF-IDF LR	sparse	question_shuffled_context_eval vs question_context	-0.01148758540571404	-0.020000000000000018	0.00044667378522544876	-0.01967006862298959	0.3516457811194654	0.34015819571375133	0.6545955414290154	0.6550422152142409
bert-base-uncased	BERT	general	question_only vs question_context	-0.04352246241617741	-0.033333333333333326	0.25464024043592326	0.19281789898872376	0.38964646464646474	0.34612400223028733	0.6511110590613788	0.905751299497302
bert-base-uncased	BERT	general	context_only vs question_context	-0.037557170614925695	-0.08000000000000002	0.18882157293977986	0.18355663955211643	0.38964646464646474	0.35208929403153905	0.6511110590613788	0.8399326320011586
bert-base-uncased	BERT	general	question_shuffled_context_eval vs question_context	-0.05616057601183466	0.020000000000000018	0.007020990934852089	-0.022507477402687076	0.38964646464646474	0.3334858886346301	0.6511110590613788	0.6581320499962309
allenai/scibert_scivocab_uncased	SciBERT	scientific	question_only vs question_context	0.043719666314627814	0.10000000000000003	-0.2521132357454805	-0.24715485095977785	0.33571295779884736	0.37943262411347517	0.8899097769908818	0.6377965412454013
allenai/scibert_scivocab_uncased	SciBERT	scientific	context_only vs question_context	0.013155820481695557	0.026666666666666672	-0.15981258961808265	-0.10460214475790658	0.33571295779884736	0.3488687782805429	0.8899097769908818	0.7300971873727992
allenai/scibert_scivocab_uncased	SciBERT	scientific	question_shuffled_context_eval vs question_context	-0.013111947697837245	0.0	0.028693933432032193	0.020558592478434334	0.33571295779884736	0.3226010101010101	0.8899097769908818	0.918603710422914
dmis-lab/biobert-v1.1	BioBERT	biomedical	question_only vs question_context	0.01949558747180674	-0.09333333333333338	0.23172657476545544	0.19001256684462234	0.38278608050616336	0.4022816679779701	0.5860753324482706	0.817801907213726
dmis-lab/biobert-v1.1	BioBERT	biomedical	context_only vs question_context	0.01075638715083077	-0.06000000000000005	0.11499730133500519	0.1771316701173782	0.38278608050616336	0.39354246765699413	0.5860753324482706	0.7010726337832758
dmis-lab/biobert-v1.1	BioBERT	biomedical	question_shuffled_context_eval vs question_context	-0.07725127011698402	-0.040000000000000036	0.10927500942786461	0.08566225647926332	0.38278608050616336	0.30553481038917935	0.5860753324482706	0.6953503418761352
microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext	BiomedBERT	biomedical	question_only vs question_context	0.008932652401830554	0.00666666666666671	0.04538042021774347	0.04998337268829345	0.4351482412203475	0.44408089362217806	0.7033580924714422	0.7487385126891857
microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext	BiomedBERT	biomedical	context_only vs question_context	-0.04774617503532935	-0.039999999999999925	0.12128507008887157	0.12305963595708208	0.4351482412203475	0.38740206618501816	0.7033580924714422	0.8246431625603138
microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext	BiomedBERT	biomedical	question_shuffled_context_eval vs question_context	-0.13858971609039383	-0.1333333333333333	0.22547731496656875	0.1221181164185206	0.4351482412203475	0.2965585251299537	0.7033580924714422	0.928835407438011
michiyasunaga/BioLinkBERT-base	BioLinkBERT	biomedical-link	question_only vs question_context	-0.049507786874451676	-0.05999999999999994	0.03858754209609461	0.04261364122231806	0.36912641540397134	0.31961862852951967	0.617557102693454	0.6561446447895486
michiyasunaga/BioLinkBERT-base	BioLinkBERT	biomedical-link	context_only vs question_context	-0.019173100744774296	-0.046666666666666634	0.1370526216504745	0.15857136865456903	0.36912641540397134	0.34995331465919705	0.617557102693454	0.7546097243439285
michiyasunaga/BioLinkBERT-base	BioLinkBERT	biomedical-link	question_shuffled_context_eval vs question_context	-0.06271475784477282	-0.07999999999999996	0.06388295269211508	0.07973299066225692	0.36912641540397134	0.3064116575591985	0.617557102693454	0.6814400553855691
emilyalsentzer/Bio_ClinicalBERT	BioClinicalBERT	clinical	question_only vs question_context	0.053232514490415994	-0.026666666666666672	0.2072847557178722	0.17595353126525878	0.30888888888888894	0.36212140337930493	0.7174502411651609	0.9247349968830331
emilyalsentzer/Bio_ClinicalBERT	BioClinicalBERT	clinical	context_only vs question_context	-0.013314713359831032	-0.06666666666666671	0.2573031884559951	0.2328063768148422	0.30888888888888894	0.2955741755290579	0.7174502411651609	0.974753429621156
emilyalsentzer/Bio_ClinicalBERT	BioClinicalBERT	clinical	question_shuffled_context_eval vs question_context	0.02090245917488437	0.026666666666666672	-0.04602524454454904	-0.03240009744962055	0.30888888888888894	0.3297913480637733	0.7174502411651609	0.6714249966206118
