claim_id	verdict	claim_text	required_wording	forbidden_wording
C01_class_shift	allowed	Agent auxiliary produced a class-behavior shift repeatable across five validation seeds relative to the BPB-selected random primary control.	Describe this as no-class recovery or a retained-validation class-behavior shift, not as better biomedical reasoning.	The agent learned a better biomedical QA model.
C02_agent_beats_random_or_manual	forbidden	Agent auxiliary generally outperformed random or manual search.	Say the macro-F1 advantage over the strongest random/manual controls was small and uncertain.	Agent outperformed random search.
C03_agent_calibration_improved	forbidden	Agent auxiliary improved probabilistic reliability or calibration.	Say the macro-F1 gain came with worse Brier/ECE calibration diagnostics.	Agent auxiliary is better calibrated.
C04_lm_val_bpb_sufficient_proxy	forbidden	Lower language-model validation BPB is a sufficient proxy for PubMedQA downstream behavior.	Call BPB an incomplete proxy, especially for macro-F1 and minority-class behavior.	BPB predicts biomedical QA ability.
C07_grounding_claim	forbidden	Higher PubMedQA macro-F1 proves abstract-grounded biomedical reasoning.	Say PubMedQA behavior requires partial-input and shuffled-context audits.	The model reads abstracts in a clinically meaningful way.
C08_manual_error_analysis	conditional	The selected 60 cases support a supervisor-informed illustrative case-audit taxonomy.	Call it a supervisor-informed illustrative audit; do not call it independent blinded consensus.	Expert consensus error analysis.
C09_scifact_agent_generalization	forbidden	SciFact externally validates the autoresearch-trained small causal LM.	Call SciFact an external stress test for reference evidence classification behavior.	SciFact proves the agent strategy generalizes.
C10_clinical_utility	forbidden	The system is clinically useful or ready for decision support.	State that this is a biomedical literature QA audit, not clinical decision support.	Clinically useful model.
C12_independent_expert_manual_review	forbidden	The manual error audit is an independent expert consensus review.	Call it a supervisor-informed illustrative case audit unless independent reviewer agreement is obtained.	Independent expert consensus error analysis.
C15_test_split_blind_confirmation	forbidden	The opened PubMedQA test split provides blind held-out confirmation.	Call PubMedQA test a post-freeze audit-only split, not an untouched blind test.	Held-out blind PubMedQA test confirmation.
