task	encoder	variant	split	selected_for_final_eval	n	acc	macro_f1	brier	f1_yes	f1_no	f1_maybe
pubmedqa	microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext	majority_train	val	False	150	0.5533333333333333	0.23748211731044352	0.8933333333333333	0.7124463519313305	0.0	0.0
pubmedqa	microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext	majority_train	test	False	150	0.5533333333333333	0.23748211731044352	0.8933333333333333	0.7124463519313305	0.0	0.0
pubmedqa	microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext	frozen_mean_zscore_lr_c0.01_cwnone	val	False	150	0.5733333333333334	0.38932831830669096	0.5879205162186434	0.6927374301675977	0.4752475247524752	0.0
pubmedqa	microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext	frozen_mean_zscore_lr_c0.1_cwnone	val	False	150	0.5333333333333333	0.4184303350970018	0.6840216297796279	0.6309523809523809	0.47619047619047616	0.14814814814814814
pubmedqa	microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext	frozen_mean_zscore_lr_c1.0_cwnone	val	False	150	0.52	0.430146278581703	0.7790866498400176	0.5975609756097562	0.48598130841121495	0.20689655172413793
pubmedqa	microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext	frozen_mean_zscore_lr_c10.0_cwnone	val	False	150	0.5133333333333333	0.4230863629391011	0.8053205126639246	0.5975609756097562	0.4716981132075472	0.19999999999999998
pubmedqa	microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext	frozen_mean_zscore_lr_c0.1_cwbalanced	val	False	150	0.5266666666666666	0.4351482412203475	0.7033715806618985	0.6064516129032258	0.5225225225225224	0.17647058823529413
pubmedqa	microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext	frozen_mean_zscore_lr_c1.0_cwbalanced	val	False	150	0.5266666666666666	0.4347802347802348	0.7862689096325532	0.6103896103896105	0.5225225225225224	0.17142857142857143
pubmedqa	microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext	frozen_mean_zscore_lr_c10.0_cwbalanced	val	False	150	0.5266666666666666	0.43652915711739254	0.8099799996331412	0.5974025974025975	0.5357142857142858	0.17647058823529413
pubmedqa	microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext	frozen_mean_zscore_lr_c10.0_cwbalanced_selected_on_val	val	True	150	0.5266666666666666	0.43652915711739254	0.8099799996331412	0.5974025974025975	0.5357142857142858	0.17647058823529413
pubmedqa	microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext	frozen_mean_zscore_lr_c10.0_cwbalanced_selected_on_val	test	True	150	0.4666666666666667	0.3952469054226686	0.8830000398189619	0.5590062111801242	0.4565217391304348	0.1702127659574468
