phase	split	config_name	group	seed	train_code_commit	source_commit	lm_val_bpb	pubmedqa_acc	pubmedqa_macro_f1	pubmedqa_brier	memory_gb	params_M	tokens_M	status	predictions	description
repeated_val	val	manual_baseline_f1664dd	manual	42	84d5239	f1664dd	2.415071	0.486667	0.336645	0.647574	0.1	7.3	14.1	ok	outputs/predictions/pubmedqa_repeated_val_val_manual_baseline_f1664dd_seed42.tsv	Original locked PubMedQA harness baseline without auxiliary answer-label objective.
repeated_val	val	manual_baseline_f1664dd	manual	43	84d5239	f1664dd	2.378646	0.466667	0.282513	0.660178	0.1	7.3	14.0	ok	outputs/predictions/pubmedqa_repeated_val_val_manual_baseline_f1664dd_seed43.tsv	Original locked PubMedQA harness baseline without auxiliary answer-label objective.
repeated_val	val	manual_baseline_f1664dd	manual	44	84d5239	f1664dd	2.375142	0.533333	0.312023	0.645905	0.1	7.3	14.2	ok	outputs/predictions/pubmedqa_repeated_val_val_manual_baseline_f1664dd_seed44.tsv	Original locked PubMedQA harness baseline without auxiliary answer-label objective.
repeated_val	val	manual_baseline_f1664dd	manual	45	84d5239	f1664dd	2.423194	0.506667	0.282111	0.607563	0.1	7.3	14.1	ok	outputs/predictions/pubmedqa_repeated_val_val_manual_baseline_f1664dd_seed45.tsv	Original locked PubMedQA harness baseline without auxiliary answer-label objective.
repeated_val	val	manual_baseline_f1664dd	manual	46	84d5239	f1664dd	2.319867	0.533333	0.339014	0.616696	0.1	7.3	14.2	ok	outputs/predictions/pubmedqa_repeated_val_val_manual_baseline_f1664dd_seed46.tsv	Original locked PubMedQA harness baseline without auxiliary answer-label objective.
repeated_val	val	manual_warmup10_da0044c	manual	42	84d5239	da0044c	2.315293	0.566667	0.349116	0.602300	0.1	7.3	15.2	ok	outputs/predictions/pubmedqa_repeated_val_val_manual_warmup10_da0044c_seed42.tsv	Manual best validation-BPB configuration: 4-layer baseline with 10 percent LR warmup.
repeated_val	val	manual_warmup10_da0044c	manual	43	84d5239	da0044c	2.383279	0.500000	0.314394	0.642626	0.1	7.3	14.6	ok	outputs/predictions/pubmedqa_repeated_val_val_manual_warmup10_da0044c_seed43.tsv	Manual best validation-BPB configuration: 4-layer baseline with 10 percent LR warmup.
repeated_val	val	manual_warmup10_da0044c	manual	44	84d5239	da0044c	2.244220	0.500000	0.251049	0.630705	0.1	7.3	14.2	ok	outputs/predictions/pubmedqa_repeated_val_val_manual_warmup10_da0044c_seed44.tsv	Manual best validation-BPB configuration: 4-layer baseline with 10 percent LR warmup.
repeated_val	val	manual_warmup10_da0044c	manual	45	84d5239	da0044c	2.334781	0.486667	0.313157	0.695284	0.1	7.3	14.0	ok	outputs/predictions/pubmedqa_repeated_val_val_manual_warmup10_da0044c_seed45.tsv	Manual best validation-BPB configuration: 4-layer baseline with 10 percent LR warmup.
repeated_val	val	manual_warmup10_da0044c	manual	46	84d5239	da0044c	2.483423	0.513333	0.321445	0.633678	0.1	7.3	14.1	ok	outputs/predictions/pubmedqa_repeated_val_val_manual_warmup10_da0044c_seed46.tsv	Manual best validation-BPB configuration: 4-layer baseline with 10 percent LR warmup.
repeated_val	val	random_primary_best_7147e14	random	42	84d5239	7147e14	1.861016	0.553333	0.250027	0.561417	0.2	16.7	8.0	ok	outputs/predictions/pubmedqa_repeated_val_val_random_primary_best_7147e14_seed42.tsv	Random phase2 primary-metric best validation-BPB configuration.
repeated_val	val	random_primary_best_7147e14	random	43	84d5239	7147e14	2.029003	0.573333	0.287385	0.561011	0.2	16.7	9.4	ok	outputs/predictions/pubmedqa_repeated_val_val_random_primary_best_7147e14_seed43.tsv	Random phase2 primary-metric best validation-BPB configuration.
repeated_val	val	random_primary_best_7147e14	random	44	84d5239	7147e14	2.394856	0.540000	0.273910	0.573906	0.2	16.7	9.6	ok	outputs/predictions/pubmedqa_repeated_val_val_random_primary_best_7147e14_seed44.tsv	Random phase2 primary-metric best validation-BPB configuration.
repeated_val	val	random_primary_best_7147e14	random	45	84d5239	7147e14	2.341864	0.553333	0.237482	0.568122	0.2	16.7	9.8	ok	outputs/predictions/pubmedqa_repeated_val_val_random_primary_best_7147e14_seed45.tsv	Random phase2 primary-metric best validation-BPB configuration.
repeated_val	val	random_primary_best_7147e14	random	46	84d5239	7147e14	2.074519	0.553333	0.237482	0.561032	0.2	16.7	9.8	ok	outputs/predictions/pubmedqa_repeated_val_val_random_primary_best_7147e14_seed46.tsv	Random phase2 primary-metric best validation-BPB configuration.
repeated_val	val	random_accuracy_best_7e73835	random	42	84d5239	7e73835	2.233855	0.553333	0.237482	0.573819	0.2	16.7	9.8	ok	outputs/predictions/pubmedqa_repeated_val_val_random_accuracy_best_7e73835_seed42.tsv	Random-search validation accuracy best from the initial random sweep.
repeated_val	val	random_accuracy_best_7e73835	random	43	84d5239	7e73835	2.149190	0.546667	0.235632	0.576552	0.2	16.7	9.8	ok	outputs/predictions/pubmedqa_repeated_val_val_random_accuracy_best_7e73835_seed43.tsv	Random-search validation accuracy best from the initial random sweep.
repeated_val	val	random_accuracy_best_7e73835	random	44	84d5239	7e73835	2.346024	0.540000	0.265476	0.575050	0.2	16.7	9.8	ok	outputs/predictions/pubmedqa_repeated_val_val_random_accuracy_best_7e73835_seed44.tsv	Random-search validation accuracy best from the initial random sweep.
