split	pmid	label	year	question_sha256	context_sha256
train	10135926	yes	1994	cdb76e6e8842c32092455397f3ff69b241c4cde867e5a6902c6daa8daa6766f6	134370d3bc14f47966ae2fb73fba88606ea9cd546b8fc2c70f1104250d0341a4
train	10173769	yes	1997	529343a0eaa4a2537d6a38ab47e0982998773d2a88f70e8ef2e4f707e366bd4f	572d9209229ae8b7c9a3bfa396700ead3a7522a8988ed92aa8e96aac1e94b60a
train	10201555	yes	1998	156dd71650248e846652b345268d6ff8454685a0ae67fa23376514d90fc0e778	afe40eb8bd03e5070b5e0418d8f802d25a0537541c6df9f18945017afd8e045d
train	10354335	yes	1999	e8cef679577f8e8d5e96abeb4e25bb17874279ea3414e4190e71dd9c3b31397c	40a84cf0acdef68732ab6a0bf75897b647945c1ab5977685c4c405917fa27ad6
train	10375486	no	1999	00d373d405c8118b1635526ac9c22331d671f44ca65fabacfb01d3dcc503cb16	34cbed269aa166311c7139d0fda648f8adf866883353661ddfbcd54b549d9821
train	10401824	yes	1999	42096cd363be8f9bc631cf75e39ea8cd7eda1bf036932aab4ff0ca8b2cb3b3ef	c55ece0c0983b6ebafdedd6b0aa4a2f5c64dbba29946d488d9fabeb56ce7bfc2
train	10473855	no	1999	1c95810471d4006aa1f31cae67fbd88deac569b50b199f14d880731f74735e8a	37cba8e48fb890534c2efc05852ec615ba99a8fafe2c1aa18546513ccd5adf49
train	10577397	yes	1999	f00266a4ab8367f6486c3ce2593c03c97c9c8f7354bc0f1b3dc6d7894f2a0f7f	bf35481576474ea26117c7c4e6f92105340aeb01c190f4498398bfbf800c6de9
train	10605400	maybe	1999	7f34892c73cbd5d2ce4e02c1aeca5210a5061f7fc3829e1fd9ea8ae506597682	37c8ed76a4198ba7ef6475a46e1219639c67d8921e01acd007f3074b9160eeea
train	10759659	yes	2000	d6de04d87f0519a53aaf050ff533803fa84e657f9b62b5e6ca18511571d0f5b2	b1bca3481e5123c4e87df41af10d847a8700823afc5b2eda2d21b469e50bc2e3
train	10798511	no	2000	e0d034a2d311db342679448b9cc663bb89928fece1b6141c3d0a5546a55e57cb	85110907d23326948d37c9e1173bb087d26e1a86d335b601599c826f1c049d8f
train	10808977	yes	2000	422ccc12d17272ab59c52eeaee062942263991241f31434b771b3e3406f8c279	89f2a5cbd3883b7ea9360a9d94a6e7497e7b73c6565128d10e27354d8907813d
train	10811329	yes	2000	f4a26dff8c51041f7fa4560a75eaa51758ff412f4951aea99ca79c23cc5e975d	2d531c4bca9c0f98379bdf2f2cc880b844b210b8d7831ad1ae780953aaf31e76
train	10834864	no	2000	ce3102335e83ed83c0a9cc58926ae23f4667ad9440adae15fdf0c9310b6c8154	d01aa3df48a7bc2f99a45e8e392bb645f1e01ae2635667ea9a771704a5969a24
train	10877371	yes	2000	7e8b7cd0c6bb4b376b9480eb2e066771cbf7ae27918084b07cbec2315074fddf	0e6478bebd95d4523d4809b42bcbc21785fa27b3275309b330439871434e424c
train	10922093	yes	2000	2264d236a2b6bfa4fe6b0676b2fcc3cfa5d8748d6c44a281b43f47906f2af2c4	30b59577bbd58e000525d4efce8a05cde371d6da4489fd6fad6ec46073e24b62
train	10927144	no	2000	9c1ec51de68639c849f98fa55f248067bec85dea6b2ff1b43a6e6dc0808ca980	c369616e2953d2d33292ebca40a53d4fc0b43df878d1c7814159359d1bca6617
train	10966337	yes	2000	6b6e5daec7c231243cbaf987b1753dc6e7e76edd673f19a6511273e941e5f442	742a6c082245804141fd65ed1b2dbdbb0d6fba8d30f29d7f036e70c3fc84a7a1
train	10966943	no	2000	fa66f4705a7875ef1b11b7b5acc47c6407ede9f7163ede9f5b40529b7029dfd7	b947e46a14f3741cd3d374ab5ed238a187f8f4ac51f2755c69657a20354a58d3
train	10973547	no	2000	c2a8c025448a7f5e6315a77c259196ae82ca3da4ff3cbac5e37346e7093947af	17212b982793ee8c5f2792b37f6d99e91ac0063219b15f5f1834d41354bf71bd
train	11034241	maybe	2000	a0d18f3368b44d269652de1a6c13ad17f2c35bb259b9266b32dac1c507fcbadb	de810a45a1009944308f32e5b88585d27d51ca8ce89be78ad7a076c397618982
train	11035130	yes	2000	117e5dee4cb8ce00b7858866681ecb719fbf1656edccc6419b8b8c55dbd6f5a6	01e2bcef102a78d1fe9edc1af86148169fa0874419c632685f47d9540e708a8c
train	11053064	no	2000	c438895b5e7a902261d7b3d1cc78312b177dd1012514c652853fc82a113268f6	1a14a3252fe2157243a88b2b32fff3969487d2cdb8cfe483b0b830620a448208
train	11138995	no		a731d70e5c180ce0505897aa1505f08cbd0e91504312b7b390e052d730bd9e4f	669789bf8d44acd7896cf4480f3cc8ab022d60aafd4adc4e1dde68fa0bbfff4b
train	11146778	yes	2001	7b7688ec720b247ae1af26d1a9831ea0852028cb39246642ab1a64272312b362	1055cdf4e364cf9da5135690d372b6d98453b9df92062384d2c438356a29b0b7
train	11149643	yes	2000	f2a32ca98045be7c19c8b2317d15c763c6dd4fba238aba964bcab3d26092d714	d80734bae23c84936670e02399ef01ab5fce85cbd2f3e560c6832c986713397f
train	11340218	no	2001	47711d044e379b29fe07018262ca467a5f840e986689306bcbb4c4d647311cbf	5c1896652a8678bc23d3a99494c4c5cbe6fdfe1ada04f2d20004791bae75956d
train	11411430	maybe	2001	dbf925bfbbc8f3485852b24bbc4caf84699b3e30ee85b188580c8d041b7e445a	14689581e39fb04a92eb84370e238e78da98f7862d68ea5c7208f1ed94cbb3b1
train	11413427	no	2001	bc894a4e7a2985f322011510322052c79f06ce3b0b94c5d62e3f6ff61522fa2f	2ea0d4406e6338d19cae7eee010e8ff58df905382fc4172ee9a821b72a68b730
train	11438275	no	2001	65778e7ff6342f794cedab7453e1b650fbd81d408911b9e723ee45f0004c9954	31445eecb9322fca214bb594bf576671ec2e2b41bee34903be35e94c8381e1f7
train	11458136	maybe	2001	081bc7cd0e9ed6da30388b45462ec9197531dc146ccaaf8a7769357599e3bda6	be8cf1ec9502dde08b91f5bf73f7b528babc5417df059f57939a3a0c2b1fe842
train	11481172	yes	2001	31041b14f6396fa9cf1e8200369be504359fbad54134bb0942683712fe3eb391	d53f34dfc78ca670d7f9096af50d03182e5ea7cf047f7ad42ca9d485ab0878d0
train	11500608	no	2001	f438c9c944faecb057675fc73e33db43a075d52c4caf4ec42d38a45c4d39b98d	080a64d25cb56855ca47aed7971629b83264c091087c917073b217440d7cb128
train	11555508	yes	2001	4d43713b095ceac642c27c1cb213508d67e6a5c2da7b17a25983e92092bd6b87	3afd2856f43357d4a2fd8339eb1db584347e59089c127f00be75448043d0406f
train	11566686	yes	2001	7b35566efd884482f1b296b3e3b941395dce2f56f54b98674463dfd1a227d018	df812c1aa2015a90b9fb06d9148b30f79f901b925e88ff0223717ac4fd7cd58a
train	11567820	no	2001	7deff7d7741524c4d2218f809b08bd7a47056680828a668b0b0617cfa7eb4426	7cb3718c1290b123499f7c55c2aed87ee63697b92985950d8443f4086a00ecdc
train	11570976	maybe	2001	7d4cb212011a3414eb180fa541379864bed9f7c9cd14b6e115a0ee39edc2eeb9	201ac37c7dc56f7f500f9e1b8647763d57217c15a6d444b51943a3f1be19ff17
train	11601252	yes	1999	d7ccf4f13d927f5a15dd1f097f70fb6dffe598d74ccda66a5335607a117bd97f	392344e5f350c9e1b8c5a71396be25e5d18c12c8384885a9c60d1b4c72aa24fb
train	11713724	no		4f58c71579c7999490faf2f8ac194e75ea632755df4554a952e6bd2d0f50742c	6ba8ba74d850e82c7b50571ba235a64be019f2dac33611c6347b3969534dece9
train	11729377	yes	2001	0f4a2ff3beab9e102c6cad2f250db1e375f1d9609768d0cf62263c083d80040a	aa9bb3d46bde35453437b32d0b9b22358c1d15eaabc8bda33ea15d9d925b2f6d
train	11759976	no	2001	a2dce4e643735ea332d962f643b3d690b6e89b1a7fabcca5c586429ea7379d48	e40f07425dc409ab99fad59558c5811c696bc050404b23d57bedf2f053a81198
train	11776681	yes	2001	c859095de5deff69fd4cc913f6a700886a5a165436e300b20774553eb4e33cc9	1ab94a516f185c851cd6a52a5cfd54eeb14189ab261f36e3c1e0bc3e9ad7970d
train	11833948	yes	2001	b8ce06e80ea2c1118174417062cea8133e134825a301c20970a144d78816f945	be74ca4fa0ab80efa327dbff1b25276169d80b1cbf7dc7644aef9e2018747078
train	11838307	no	2002	c6e8f8092b4147d9700e533a026355d9b19ad8ea7e9d8185c85b0f6af78d4548	aef481514a7adbe0fa535072ff4d652198f7389df909b897789fd0457484495c
