claim_id	verdict	claim_text	evidence	required_wording	forbidden_wording
C01_class_shift	allowed	Agent auxiliary produced a class-behavior shift repeatable across five validation seeds relative to the BPB-selected random primary control.	Agent minus random primary macro-F1 diff 0.0718 [0.0316, 0.1090], F1-no diff 0.2925 [0.2025, 0.3716].	Describe this as no-class recovery or a retained-validation class-behavior shift, not as better biomedical reasoning.	The agent learned a better biomedical QA model.
C02_agent_beats_random_or_manual	forbidden	Agent auxiliary generally outperformed random or manual search.	Agent minus random macro-F1 best macro-F1 diff 0.0179 [-0.0207, 0.0549]; agent minus manual baseline macro-F1 diff 0.0186 [-0.0187, 0.0563].	Say the macro-F1 advantage over the strongest random/manual controls was small and uncertain.	Agent outperformed random search.
C03_agent_calibration_improved	forbidden	Agent auxiliary improved probabilistic reliability or calibration.	Agent minus random primary Brier diff 0.0881 [0.0488, 0.1286]; ECE agent 0.1614 vs random primary 0.0321.	Say the macro-F1 gain came with worse Brier/ECE calibration diagnostics.	Agent auxiliary is better calibrated.
C04_lm_val_bpb_sufficient_proxy	forbidden	Lower language-model validation BPB is a sufficient proxy for PubMedQA downstream behavior.	Random primary had lower BPB than agent auxiliary (2.1403 vs 2.3770) but lower macro-F1 (0.2573 vs 0.3291).	Call BPB an incomplete proxy, especially for macro-F1 and minority-class behavior.	BPB predicts biomedical QA ability.
C05_single_run_winner	forbidden	A single 5-minute run is sufficient evidence of improvement.	Repeated validation used five seeds; agent macro-F1 SD was 0.0421, random macro-F1-best SD was 0.0299, and the strongest pairwise CI crossed zero.	Call single runs candidate hypotheses until they pass repeated-seed and paired-audit gates.	Agent #002 proved improvement by a single run.
C06_frozen_encoder_reference	allowed	Frozen BiomedBERT is a stronger macro-F1 reference than the small autoresearch models.	Frozen BiomedBERT/BiomedBERT macro-F1 was higher than agent auxiliary in the reference audits; the calibration diagnostics varied by reference-run implementation, so this is not a calibration claim.	Use as a non-compute-matched biomedical encoder reference line.	The small autoresearch model is competitive with PubMedBERT/BiomedBERT.
C07_grounding_claim	forbidden	Higher PubMedQA macro-F1 proves abstract-grounded biomedical reasoning.	Context-use sanity checks showed question-only TF-IDF LR and frozen BiomedBERT were unexpectedly strong.	Say PubMedQA behavior requires partial-input and shuffled-context audits.	The model reads abstracts in a clinically meaningful way.
C08_manual_error_analysis	conditional	The selected 60 cases support a supervisor-informed illustrative case-audit taxonomy.	The integrated 60-case supervisor-informed, standardized table yielded 13 corrected yes-collapse, 12 overcorrected yes, 15 maybe unresolved, 10 both-wrong/ambiguous, eight no-meaningful-change, and two increased-instability cases.	Call it a supervisor-informed illustrative audit; do not call it independent blinded consensus.	Expert consensus error analysis.
C09_scifact_agent_generalization	forbidden	SciFact externally validates the autoresearch-trained small causal LM.	SciFact currently evaluates majority and frozen BiomedBERT reference baselines, not the autoresearch small LM.	Call SciFact an external stress test for reference evidence classification behavior.	SciFact proves the agent strategy generalizes.
C10_clinical_utility	forbidden	The system is clinically useful or ready for decision support.	No patient-level data, clinical workflow, prospective validation, clinician evaluation, or deployment study was performed.	State that this is a biomedical literature QA audit, not clinical decision support.	Clinically useful model.
C11_protocol_prospective_for_original_search	forbidden	The hypothesis-first protocol prospectively governed the reported original search.	The hypothesis-first protocol was added after the legacy manual/random/agent search and is documented in the retrospective alignment audit.	Say the protocol retrospectively grades current evidence and prospectively constrains future runs.	The original search was prospectively governed by the hypothesis-first protocol.
C12_independent_expert_manual_review	forbidden	The manual error audit is an independent expert consensus review.	The current 60-case analysis is supervisor-informed and standardized, but it was not a blinded independent two-reviewer design with agreement statistics.	Call it a supervisor-informed illustrative case audit unless independent reviewer agreement is obtained.	Independent expert consensus error analysis.
C13_question_context_scores_prove_grounding	forbidden	Question+context PubMedQA scores demonstrate abstract-grounded evidence reasoning.	Context-use sanity checks showed unexpectedly strong question-only TF-IDF and frozen BiomedBERT performance; shuffled-context checks were needed to expose context artifacts.	Say context-use checks limit evidence-grounding claims and motivate cautious interpretation.	Question+context accuracy proves abstract-grounded biomedical reasoning.
C14_calibration_as_clinical_reliability	forbidden	Calibration diagnostics are clinical reliability estimates.	Brier and ECE were computed as validation-set sanity diagnostics on small PubMedQA splits with model-specific probability sources.	Call them calibration sanity diagnostics, not clinical reliability estimates.	The calibration analysis establishes clinical reliability.
C15_test_split_blind_confirmation	forbidden	The opened PubMedQA test split provides blind held-out confirmation.	The PubMedQA test split was opened during the audit; later use is restricted to post-freeze audit-only reporting.	Call PubMedQA test a post-freeze audit-only split, not an untouched blind test.	Held-out blind PubMedQA test confirmation.
C16_fixed_budget_best_possible_model	forbidden	The fixed 5-minute Apple Silicon budget estimates the best possible low-resource biomedical model.	The fixed budget is a stress-test constraint for autonomous experimentation and claim safety, not a performance-optimization or scaling study.	Call the 5-minute budget a low-resource stress-test budget.	Best possible low-resource biomedical QA model.
